gameId,gameType,seasonId,gameVersion,mapId,gameMode,team100_ban_1,team100_ban_2,team100_ban_3,team100_ban_4,team100_ban_5,team200_ban_6,team200_ban_7,team200_ban_8,team200_ban_9,team200_ban_10,teamId_participant0,championId_participant0,spell1Id_participant0,spell2Id_participant0,role_participant0,lane_participant0,perk0_participant0,perk1_participant0,perk2_participant0,perk3_participant0,perk4_participant0,perkPrimaryStyle_participant0,perkSubStyle_participant0,statPerk0_participant0,statPerk1_participant0,statPerk2_participant0,teamId_participant1,championId_participant1,spell1Id_participant1,spell2Id_participant1,role_participant1,lane_participant1,perk0_participant1,perk1_participant1,perk2_participant1,perk3_participant1,perk4_participant1,perkPrimaryStyle_participant1,perkSubStyle_participant1,statPerk0_participant1,statPerk1_participant1,statPerk2_participant1,teamId_participant2,championId_participant2,spell1Id_participant2,spell2Id_participant2,role_participant2,lane_participant2,perk0_participant2,perk1_participant2,perk2_participant2,perk3_participant2,perk4_participant2,perkPrimaryStyle_participant2,perkSubStyle_participant2,statPerk0_participant2,statPerk1_participant2,statPerk2_participant2,teamId_participant3,championId_participant3,spell1Id_participant3,spell2Id_participant3,role_participant3,lane_participant3,perk0_participant3,perk1_participant3,perk2_participant3,perk3_participant3,perk4_participant3,perkPrimaryStyle_participant3,perkSubStyle_participant3,statPerk0_participant3,statPerk1_participant3,statPerk2_participant3,teamId_participant4,championId_participant4,spell1Id_participant4,spell2Id_participant4,role_participant4,lane_participant4,perk0_participant4,perk1_participant4,perk2_participant4,perk3_participant4,perk4_participant4,perkPrimaryStyle_participant4,perkSubStyle_participant4,statPerk0_participant4,statPerk1_participant4,statPerk2_participant4,teamId_participant5,championId_participant5,spell1Id_participant5,spell2Id_participant5,role_participant5,lane_participant5,perk0_participant5,perk1_participant5,perk2_participant5,perk3_participant5,perk4_participant5,perkPrimaryStyle_participant5,perkSubStyle_participant5,statPerk0_participant5,statPerk1_participant5,statPerk2_participant5,teamId_participant6,championId_participant6,spell1Id_participant6,spell2Id_participant6,role_participant6,lane_participant6,perk0_participant6,perk1_participant6,perk2_participant6,perk3_participant6,perk4_participant6,perkPrimaryStyle_participant6,perkSubStyle_participant6,statPerk0_participant6,statPerk1_participant6,statPerk2_participant6,teamId_participant7,championId_participant7,spell1Id_participant7,spell2Id_participant7,role_participant7,lane_participant7,perk0_participant7,perk1_participant7,perk2_participant7,perk3_participant7,perk4_participant7,perkPrimaryStyle_participant7,perkSubStyle_participant7,statPerk0_participant7,statPerk1_participant7,statPerk2_participant7,teamId_participant8,championId_participant8,spell1Id_participant8,spell2Id_participant8,role_participant8,lane_participant8,perk0_participant8,perk1_participant8,perk2_participant8,perk3_participant8,perk4_participant8,perkPrimaryStyle_participant8,perkSubStyle_participant8,statPerk0_participant8,statPerk1_participant8,statPerk2_participant8,teamId_participant9,championId_participant9,spell1Id_participant9,spell2Id_participant9,role_participant9,lane_participant9,perk0_participant9,perk1_participant9,perk2_participant9,perk3_participant9,perk4_participant9,perkPrimaryStyle_participant9,perkSubStyle_participant9,statPerk0_participant9,statPerk1_participant9,statPerk2_participant9,win
5028961940,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,58.0,25.0,2.0,238.0,67.0,157.0,350.0,-1.0,143.0,35.0,100,777,14,4,,,8021,9101,9104,8014,8139,8000,8100,5005,5008,5003,100,26,14,4,,,8128,8126,8138,8105,8009,8100,8000,5008,5008,5002,100,33,4,3,,,8439,8463,8429,8242,8275,8400,8200,5007,5002,5003,100,79,4,11,,,8128,8126,8138,8135,8210,8100,8200,5005,5008,5002,100,114,4,12,,,8010,8009,9104,8299,8304,8000,8300,5008,5008,5002,200,107,12,4,,,8010,9111,9103,8299,8473,8000,8400,5005,5008,5002,200,245,14,4,,,8112,8143,8138,8135,8233,8100,8200,5008,5008,5003,200,141,11,14,,,8128,8143,8138,8106,8304,8100,8300,5008,5008,5002,200,202,4,7,,,8128,8139,8138,8135,9103,8100,8000,5005,5008,5002,200,267,14,4,,,8214,8226,8210,8237,8473,8200,8400,5008,5008,5001,0
5028673293,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,350.0,202.0,55.0,11.0,131.0,34.0,39.0,147.0,6.0,777.0,100,22,4,7,,,8008,9111,9104,8014,8410,8000,8300,5005,5008,5002,100,238,4,14,,,8112,8143,8138,8135,8014,8100,8000,5005,5008,5003,100,7,14,4,,,8112,8139,8138,8106,8226,8100,8200,5007,5008,5002,100,30,11,4,,,8128,8126,8138,8106,8009,8100,8000,5008,5008,5002,100,35,12,4,,,8229,8226,8210,8237,8304,8200,8300,5008,5008,5002,200,68,12,4,,,8229,8275,8233,8237,8126,8200,8100,5008,5008,5002,200,145,7,4,,,9923,8139,8138,8135,8009,8100,8000,5005,5008,5001,200,31,11,4,,,8439,8401,8473,8451,8304,8400,8300,5008,5008,5001,200,24,4,14,,,8010,9111,9104,8299,8139,8000,8100,5008,5008,5003,200,12,3,4,,,8439,8463,8473,8451,8306,8400,8300,5007,5002,5002,0
5027253514,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,17.0,141.0,202.0,84.0,360.0,28.0,350.0,25.0,517.0,119.0,100,497,4,14,,,8465,8463,8473,8242,8136,8400,8100,5008,5008,5002,100,427,4,11,,,8214,8275,8210,8232,8321,8200,8300,5007,5008,5002,100,103,4,14,,,8112,8126,8138,8106,8226,8100,8200,5008,5008,5002,100,777,4,14,,,8010,9111,9104,8014,8139,8000,8100,5008,5008,5002,100,498,4,7,,,8008,8009,9103,8014,8236,8000,8200,5005,5008,5002,200,421,14,4,,,9923,8139,8138,8106,8453,8100,8400,5005,5008,5001,200,104,4,11,,,8230,8275,8234,8232,9111,8200,8000,5005,5008,5001,200,92,12,4,,,8010,9111,9105,8299,8453,8000,8400,5008,5008,5002,200,12,4,14,,,8230,8275,8234,8232,8306,8200,8300,5007,5003,5002,200,51,4,7,,,8021,8009,9103,8014,8236,8000,8200,5005,5008,5002,0
5027252656,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,122.0,22.0,235.0,89.0,105.0,28.0,55.0,555.0,350.0,29.0,100,150,12,4,,,8437,8446,8473,8451,8139,8400,8100,5005,5008,5002,100,360,7,4,,,8010,8009,9103,8014,8139,8000,8100,5005,5008,5002,100,3,14,4,,,8439,8401,8473,8451,8275,8400,8200,5008,5008,5002,100,11,4,11,,,9923,8143,8138,8135,9111,8100,8000,5005,5008,5003,100,517,4,14,,,8021,8009,9105,8299,8226,8000,8200,5008,5008,5002,200,236,4,7,,,8005,8009,9103,8014,8275,8000,8200,5005,5008,5002,200,107,12,4,,,8010,9111,9103,8299,8473,8000,8400,5005,5008,5002,200,20,4,11,,,8230,8275,8234,8232,9111,8200,8000,5008,5008,5002,200,26,3,4,,,8465,8463,8444,8453,8210,8400,8200,5007,5008,5002,200,4,4,14,,,8112,8139,8120,8135,8226,8100,8200,5005,5008,5001,1
5027281198,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,25.0,350.0,28.0,1.0,22.0,516.0,360.0,55.0,147.0,2.0,100,64,11,4,,,8010,9111,9104,8014,8233,8000,8200,5005,5008,5002,100,523,4,7,,,8010,9101,9103,8017,8139,8000,8100,5005,5008,5003,100,107,12,4,,,8010,9111,9103,8299,8473,8000,8400,5005,5008,5002,100,245,4,14,,,8112,8143,8138,8135,8345,8100,8300,5008,5008,5002,100,412,14,4,,,8439,8446,8429,8451,8345,8400,8300,5008,5008,5003,200,202,4,7,,,8021,8009,9103,8017,8275,8000,8200,5008,5008,5002,200,143,14,4,,,8229,8226,8210,8237,8345,8200,8300,5008,5008,5002,200,92,4,12,,,8010,9111,9104,8299,8210,8000,8200,5008,5008,5002,200,238,14,4,,,8112,8143,8136,8106,8210,8100,8200,5008,5008,5002,200,60,4,11,,,8128,8143,8136,8135,8275,8100,8200,5008,5008,5002,1
5027177967,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,122.0,25.0,121.0,875.0,111.0,28.0,350.0,236.0,122.0,11.0,100,56,4,11,,,8008,9111,9104,8299,8143,8000,8100,5005,5008,5002,100,63,14,4,,,8128,8139,8138,8135,8226,8100,8200,5008,5008,5002,100,145,3,4,,,9923,8139,8138,8135,9111,8100,8000,5005,5008,5002,100,14,4,12,,,8351,8304,8316,8410,8446,8300,8400,5007,5008,5002,100,39,4,12,,,8010,9111,9103,8299,8143,8000,8100,5005,5008,5003,200,412,4,14,,,8465,8463,8473,8451,8345,8400,8300,5008,5002,5002,200,107,12,4,,,8010,9111,9103,8299,8473,8000,8400,5005,5008,5002,200,103,4,14,,,8112,8139,8138,8135,8275,8100,8200,5008,5008,5002,200,498,4,7,,,8021,9111,9103,8014,8275,8000,8200,5005,5008,5002,200,154,4,11,,,8439,8463,8429,8453,8347,8400,8300,5007,5008,5002,1
5027146410,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,25.0,53.0,11.0,238.0,122.0,122.0,-1.0,-1.0,-1.0,-1.0,100,3,4,14,,,8439,8401,8429,8451,8139,8400,8100,5007,5003,5002,100,203,4,11,,,8005,9111,9104,8014,8143,8000,8100,5005,5008,5002,100,119,4,14,,,8128,8139,8138,8135,9104,8100,8000,5005,5008,5003,100,92,4,14,,,8010,9111,9105,8299,8401,8000,8400,5008,5008,5002,100,202,4,7,,,8128,8139,8138,8135,8009,8100,8000,5008,5008,5002,200,81,4,7,,,8010,8009,9103,8014,8210,8000,8200,5005,5008,5002,200,55,14,4,,,8010,9111,9105,8299,8143,8000,8100,5008,5008,5002,200,131,4,11,,,8128,8139,8138,8135,8275,8100,8200,5008,5008,5002,200,98,4,12,,,8437,8401,8444,8451,8135,8400,8100,5005,5008,5002,200,235,4,3,,,8351,8304,8345,8410,8009,8300,8000,5008,5008,5002,1
5027131643,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,28.0,777.0,20.0,350.0,11.0,63.0,142.0,238.0,526.0,67.0,100,53,4,3,,,8439,8463,8429,8242,8347,8400,8300,5007,5002,5002,100,518,4,14,,,8112,8126,8138,8135,8226,8100,8200,5008,5003,5003,100,92,4,11,,,8010,9111,9104,8299,8210,8000,8200,5005,5008,5002,100,107,12,4,,,8010,9111,9105,8014,8139,8000,8100,5005,5008,5002,100,145,4,7,,,8005,8009,9104,8014,8143,8000,8100,5005,5008,5002,200,122,12,4,,,8010,9111,9104,8299,8275,8000,8200,5005,5008,5002,200,164,14,4,,,8437,8401,8473,8451,8345,8400,8300,5008,5008,5003,200,76,11,4,,,8112,8143,8138,8105,8275,8100,8200,5008,5008,5002,200,17,7,4,,,8214,8226,8210,8237,9111,8200,8000,5005,5008,5002,200,117,4,14,,,8214,8226,8210,8237,8345,8200,8300,5008,5008,5003,1
5027068079,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,202.0,121.0,350.0,28.0,80.0,240.0,157.0,777.0,360.0,120.0,100,4,14,4,,,8230,8226,8210,8236,8429,8200,8400,5005,5008,5003,100,429,4,7,,,9923,8139,8138,8135,9104,8100,8000,5005,5008,5003,100,41,4,12,,,8437,8446,8473,8451,8009,8400,8000,5005,5008,5002,100,104,4,11,,,8230,8275,8233,8232,9111,8200,8000,5005,5008,5002,100,555,14,4,,,9923,8126,8136,8106,8473,8100,8400,5008,5008,5002,200,5,11,4,,,8005,9111,9104,8014,8143,8000,8100,5005,5008,5002,200,55,14,4,,,8010,9111,9104,8299,8143,8000,8100,5005,5008,5003,200,498,3,4,,,8008,8009,9104,8014,8139,8000,8100,5005,5008,5002,200,62,12,4,,,8010,8009,9105,8299,8304,8000,8300,5005,5008,5002,200,497,4,14,,,8465,8463,8444,8453,9111,8400,8000,5007,5002,5002,0
5027054691,MATCHED_GAME,13,11.1.352.5559,11,CLASSIC,28.0,25.0,55.0,58.0,350.0,21.0,202.0,53.0,84.0,157.0,100,145,4,7,,,9923,8139,8138,8135,8009,8100,8000,5005,5008,5002,100,141,11,4,,,8010,9111,9105,8299,8143,8000,8100,5008,5008,5002,100,526,14,4,,,8439,8401,8473,8451,8306,8400,8300,5007,5008,5002,100,122,6,4,,,8010,9111,9105,8299,8275,8000,8200,5005,5008,5003,100,245,4,12,,,8112,8143,8138,8135,8316,8100,8300,5008,5008,5003,200,516,12,4,,,8437,8446,8473,8451,8345,8400,8300,5005,5002,5002,200,360,4,3,,,8010,8009,9103,8014,8139,8000,8100,5005,5008,5002,200,22,4,14,,,8229,8224,8210,8236,8313,8200,8300,5007,5002,5002,200,36,4,11,,,8437,8446,8444,8453,9111,8400,8000,5005,5008,5002,200,1,12,4,,,8128,8126,8138,8135,8226,8100,8200,5008,5008,5002,1
